CountryID,Country,Currency,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
804,Ukraine,Hryvnia,Construction (ISIC F),,,,,,,,,,,,,,,,,,,,,"146,031","285,806","4,085,760","110,517,463","962,239,288","4,033,726,186","5,175,467,677","5,185,141,448","5,235,660,032","5,798,888,497","6,102,000,000","7,929,000,000","8,408,000,000","11,099,000,000","15,621,000,000","17,842,000,000","22,981,000,000","33,430,000,000","33,118,000,000","24,702,000,000","35,366,000,000","39,575,000,000","39,049,000,000","36,902,000,000","36,876,000,000","38,928,000,000","47,457,000,000","68,152,000,000"
804,Ukraine,Hryvnia,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",,,,,,,,,,,,,,,,,,,,,"89,121","177,452","3,322,630","184,713,022","885,603,178","3,819,684,494","5,785,301,660","8,654,188,360","8,610,705,058","10,442,059,944","15,655,000,000","23,662,000,000","25,996,000,000","33,333,000,000","43,396,000,000","58,347,000,000","73,480,000,000","101,157,000,000","139,349,000,000","136,347,000,000","163,926,000,000","203,613,000,000","210,885,000,000","222,240,000,000","243,629,000,000","285,935,000,000","333,626,000,000","439,498,000,000"
804,Ukraine,Hryvnia,"Transport, storage and communication (ISIC I)",,,,,,,,,,,,,,,,,,,,,"128,262","215,362","4,453,043","183,343,529","1,023,377,806","6,887,929,647","11,281,545,556","12,366,350,020","13,301,743,977","16,171,057,046","20,787,000,000","26,098,000,000","29,440,000,000","37,258,000,000","45,538,000,000","51,269,000,000","60,915,000,000","77,380,000,000","96,936,000,000","106,510,000,000","116,038,000,000","141,569,000,000","142,238,000,000","152,855,000,000","153,613,000,000","207,574,000,000","246,013,000,000","301,008,000,000"
804,Ukraine,Hryvnia,Other Activities (ISIC J-P),,,,,,,,,,,,,,,,,,,,,"269,393","558,080","9,645,154","395,405,063","2,943,177,154","11,933,325,196","17,447,273,576","19,947,356,531","21,559,200,376","24,832,183,626","33,560,000,000","45,043,000,000","53,831,000,000","66,126,000,000","94,209,000,000","116,220,000,000","147,115,000,000","209,162,000,000","287,644,000,000","287,438,000,000","314,590,000,000","344,403,000,000","405,424,000,000","447,824,000,000","462,214,000,000","524,002,000,000","610,999,000,000","758,935,000,000"
804,Ukraine,Hryvnia,Total Value Added,,,,,,,,,,,,,,,,,,,,,"1,643,484","3,386,652","54,878,820","1,655,387,873","11,930,765,663","51,831,455,522","75,063,231,158","84,227,064,446","90,269,684,170","112,357,121,969","150,320,000,000","187,475,000,000","209,522,000,000","250,228,000,000","325,477,000,000","404,474,000,000","494,988,000,000","665,169,000,000","866,939,000,000","830,178,000,000","954,472,000,000","1,122,558,000,000","1,213,069,000,000","1,283,812,000,000","1,382,719,000,000","1,689,387,000,000","2,023,228,000,000","2,520,104,000,000"
784,United Arab Emirates,UAE Dirham,Final consumption expenditure,"1,027,119,976","1,426,447,797","2,232,436,237","3,730,066,785","6,002,926,367","13,369,480,403","17,098,023,955","26,065,028,806","28,323,032,485","34,223,350,650","42,623,534,913","61,147,291,891","64,813,309,005","64,190,452,852","62,047,356,329","65,105,765,206","68,937,050,832","72,821,104,885","81,676,591,046","89,208,531,722","98,638,863,914","105,499,579,051","118,628,638,505","123,671,417,497","135,429,872,959","150,852,435,570","164,303,952,399","177,616,060,196","187,702,751,130","202,673,298,266","226,793,723,640","235,370,638,805","259,101,834,577","280,308,571,412","338,256,150,166","381,658,160,587","459,288,114,549","565,553,590,217","680,785,228,074","524,469,372,612","625,256,219,339","631,604,200,527","585,851,772,980","644,592,904,025","705,057,049,679","628,807,401,073","638,737,042,210","663,601,471,315"
784,United Arab Emirates,UAE Dirham,Household consumption expenditure (including Non-profit institutions serving households),"714,777,718","1,008,479,348","1,465,781,200","2,583,207,971","3,618,174,030","10,459,047,256","12,949,697,286","19,448,947,568","21,037,578,398","25,655,378,184","31,920,709,307","41,980,915,983","45,178,372,103","47,206,232,432","46,253,727,083","47,653,876,289","53,246,058,756","56,968,570,828","64,967,259,743","71,538,873,505","80,565,796,993","86,667,889,567","98,279,703,898","102,693,051,558","113,689,939,750","127,773,286,763","140,214,142,221","150,474,624,075","157,847,171,397","170,298,207,588","191,183,980,887","197,755,643,897","218,181,055,426","235,782,959,867","290,771,641,350","329,437,860,587","402,857,848,964","501,778,836,363","596,245,511,544","429,173,877,069","518,501,139,866","503,423,322,369","451,991,672,980","487,222,300,998","543,208,501,970","465,340,401,073","474,483,422,089","490,536,335,809"
784,United Arab Emirates,UAE Dirham,General government final consumption expenditure,"312,342,258","417,968,449","766,655,036","1,146,858,814","2,384,752,336","2,910,433,147","4,148,326,669","6,616,081,239","7,285,454,088","8,567,972,466","10,702,825,606","19,166,375,908","19,634,936,902","16,984,220,420","15,793,629,246","17,451,888,917","15,690,992,076","15,852,534,057","16,709,331,303","17,669,658,217","18,073,066,921","18,831,689,483","20,348,934,607","20,978,365,938","21,739,933,209","23,079,148,807","24,089,810,178","27,141,436,121","29,855,579,733","32,375,090,678","35,609,742,753","37,614,994,908","40,920,779,151","44,525,611,544","47,484,508,816","52,220,300,000","56,430,265,584","63,774,753,854","84,539,716,530","95,295,495,543","106,755,079,473","128,180,878,157","133,860,100,000","157,370,603,027","161,848,547,709","163,467,000,000","164,253,620,121","173,065,135,505"
784,United Arab Emirates,UAE Dirham,Gross capital formation,"1,466,434,242","2,110,448,185","3,026,788,765","4,988,660,430","8,354,837,408","20,881,033,017","29,324,180,624","43,230,439,531","41,001,905,698","47,865,859,167","53,947,141,856","55,065,737,704","55,692,566,956","55,761,829,857","50,913,426,802","43,173,297,638","41,336,099,194","36,286,833,726","37,696,333,757","40,736,975,102","43,848,610,921","47,098,772,540","54,371,377,124","51,657,410,051","59,635,672,990","64,774,088,478","68,888,318,214","73,767,778,615","75,706,230,675","78,416,949,893","83,519,700,664","85,538,015,938","91,097,983,406","101,249,374,704","108,664,764,359","134,017,007,018","157,483,244,079","239,135,782,663","291,308,275,662","295,101,247,474","288,217,200,561","298,648,898,919","301,442,417,361","276,299,994,329","328,645,344,993","337,643,182,311","341,311,293,268","348,605,362,793"
784,United Arab Emirates,UAE Dirham,Gross fixed capital formation (including Acquisitions less disposals of valuables),"1,317,902,485","1,927,515,682","2,950,865,108","3,625,642,155","7,044,055,826","20,652,630,490","28,404,003,373","38,852,771,814","44,149,942,898","48,710,682,180","51,644,420,966","52,480,185,431","54,261,322,815","54,235,633,333","49,876,984,639","41,887,555,894","40,027,637,434","34,776,707,416","35,797,436,148","38,321,855,863","41,279,571,499","44,185,908,172","51,036,436,571","48,070,190,021","55,801,844,535","60,708,157,976","64,428,643,169","69,208,631,263","70,898,402,559","73,236,100,630","77,965,830,254","79,752,043,480","85,150,368,451","95,135,972,573","101,635,388,078","122,154,934,544","143,675,244,622","223,727,936,953","259,736,180,252","269,760,677,557","263,094,226,313","276,425,210,465","286,691,054,143","261,337,107,983","290,307,344,993","307,903,932,098","320,766,340,274","323,008,362,793"
